GEO_ID,NAME,S1701_C03_009E,S1701_C03_010E,S1701_C03_016E,S1701_C03_017E
0500000US16041,"Franklin County, Idaho",13.6,0,43.6,11.4
0500000US16043,"Fremont County, Idaho",10.8,38.1,27.2,9.3
0500000US16045,"Gem County, Idaho",16.8,-,21.4,16.2
0500000US16047,"Gooding County, Idaho",19.9,0,33.4,17.2
0500000US16049,"Idaho County, Idaho",14.4,66.7,19.4,14.1
0500000US16051,"Jefferson County, Idaho",12.4,22,34.7,10.7
0500000US16053,"Jerome County, Idaho",15.8,88.9,26.8,12.4
0500000US16055,"Kootenai County, Idaho",12.3,43.7,16.5,12.2
0500000US16057,"Latah County, Idaho",20.1,66.7,31.2,20.1
0500000US16059,"Lemhi County, Idaho",21,0,34.4,20.6
0500000US16061,"Lewis County, Idaho",14.9,0,7.6,15.4
0500000US16063,"Lincoln County, Idaho",13.5,0,21,12.3
0500000US16065,"Madison County, Idaho",34.7,29.7,43,34.4
0500000US16067,"Minidoka County, Idaho",14.2,32.1,19.4,12.7
0500000US16069,"Nez Perce County, Idaho",10.6,38.9,30.3,10.3
0500000US16071,"Oneida County, Idaho",14.7,-,41.4,14.6
0500000US16073,"Owyhee County, Idaho",26.2,-,48,18.7
0500000US16075,"Payette County, Idaho",18,23.2,28.1,16.3
0500000US16077,"Power County, Idaho",10.7,0,16.8,10.2
0500000US16079,"Shoshone County, Idaho",17,0,24.4,16.8
0500000US16081,"Teton County, Idaho",11.1,37.5,23.1,8.9
0500000US16083,"Twin Falls County, Idaho",14.8,38.2,27.3,13.4
0500000US16085,"Valley County, Idaho",12.1,-,1,12.6
0500000US16087,"Washington County, Idaho",14.8,-,20.1,13.4
0500000US17001,"Adams County, Illinois",12.9,45.5,14,12.9
0500000US17003,"Alexander County, Illinois",26,54.6,84.9,24.9
0500000US17005,"Bond County, Illinois",15.7,36.5,38.8,15.1
0500000US17007,"Boone County, Illinois",11.5,16,16.4,10.9
0500000US17009,"Brown County, Illinois",9.9,17.6,0,10
0500000US17011,"Bureau County, Illinois",11.8,9.4,14.7,11.7
0500000US17013,"Calhoun County, Illinois",11.1,100,25,11.1
